# civil-holidays v1
# jurisdiction: LC
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Saint_Lucia
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in en_LC via vacanza's own language support (language='en_LC'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
fixed         | New Year's Holiday                       | 1 2                  | public          |  |  |  |
fixed         | Independence Day                         | 2 22                 | public          |  |  |  |
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
easter        | Easter Monday                            | 1 gregorian          | public          |  |  |  |
fixed         | Labour Day                               | 5 1                  | public          |  |  |  |
easter        | Whit Monday                              | 50 gregorian         | public          |  |  |  |
easter        | Corpus Christi                           | 60 gregorian         | public          |  |  |  |
fixed         | Emancipation Day                         | 8 1                  | public          |  |  |  |
nth_weekday | Thanksgiving Day | 10 1 0 | public |  |  |  | 
fixed         | National Day                             | 12 13                | public          |  |  |  |
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
fixed         | Boxing Day                               | 12 26                | public          |  |  |  |
