# civil-holidays v1
# jurisdiction: LA
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Laos
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this
#   column. Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest fallback other batch
#   files already use for their own lunar/Orthodox movables -- silent outside
#   those years rather than fabricated. Workday-bridge ('puente'/'observado'
#   extra day-off) entries are dropped as out of scope; where a jurisdiction's
#   own substitute-holiday practice creates a genuinely separate day off
#   (e.g. Sierra Leone's "(observed)" replacement day), that day is kept as
#   its own named row, matching the precedent already set for South Korea's
#   대체 휴일 substitute-holiday rows. Multi-day religious breaks (Eid,
#   Nowruz, Lao New Year, Libyan Mawlid) are split into one row per calendar
#   day, numbered "(1)", "(2)", ... where they do not reduce to a single
#   fixed or Easter-offset rule.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | ວັນປີໃໝ່ສາກົນ                                 | 1 1 | public          |  |  |  |
fixed         | ວັນແມ່ຍິງສາກົນ                                | 3 8 | public          |  |  |  |
decree        | ບຸນປີໃໝ່ລາວ                                   | 2024-4-13 2025-4-14 2026-4-14 2026-4-15 2026-4-16 2027-4-14 2027-4-15 2027-4-16 | public          |  |  |  |
fixed         | ວັນກຳມະກອນສາກົນ                               | 5 1 | public          |  |  |  |
fixed         | ວັນຊາດ                                        | 12 2 | public          |  |  |  |


# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed  | ວັນສ້າງຕັ້ງທະນາຄານແຫ່ງ ສປປ ລາວ | 10 7 | bank |  |  |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | ສາມວັນລັດຖະການສຸດທ້າຍຂອງທຸກໆປີ | 2024-12-27 2024-12-30 2024-12-31 2025-12-29 2025-12-30 2025-12-31 | bank |  |  |  |
decree | ວັນບຸນມາຂະບູຊາ | 2024-2-24 2025-2-12 | school |  |  |  |
decree | ວັນບຸນວິສາຂະບູຊາ | 2024-5-22 2025-5-11 | school |  |  |  |
decree | ວັນບຸນເຂົ້າພັນສາ | 2024-7-20 2025-7-10 | school |  |  |  |
decree | ວັນບຸນຫໍ່ເຂົ້າປະດັບດິນ | 2024-9-2 2025-8-23 | school |  |  |  |
decree | ວັນບຸນຫໍ່ເຂົ້າສະຫຼາກ | 2024-9-17 2025-9-7 | school |  |  |  |
decree | ວັນບຸນອອກພັນສາ | 2024-10-17 | school |  |  |  |
decree | ວັນບຸນຊ່ວງເຮືອ ນະຄອນຫຼວງວຽງຈັນ | 2024-10-18 2025-10-8 | school |  |  |  |
decree | ວັນບຸນທາດຫລວງ | 2024-11-15 2025-11-5 | school |  |  |  |
decree | ວັນຄູແຫ່ງຊາດ | 2024-10-7 | school |  |  |  |
decree | ວັນຄູແຫ່ງຊາດ; ວັນບຸນອອກພັນສາ | 2025-10-7 | school |  |  |  |
