# civil-holidays v1
# jurisdiction: HT
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Haiti
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here (including one-off observed-shift days that only
#   coincide with an Easter offset by chance in a single year) are captured
#   as 'decree' (explicit per-year dates, basis tabulated) for 2024-2025,
#   the same honest fallback id.tab/cn.tab already use for Imlek/Nyepi/shift
#   days -- silent outside those years rather than fabricated. 'easter' is
#   used only where the offset from Easter Sunday is consistent across both
#   2024 and 2025. Workday-bridge ('ponte' in Portuguese-language sources,
#   the same phenomenon Russia/Uzbekistan's 'moved' shift days represent)
#   entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Fête de l'Indépendance Nationale; Nouvel An | 1 1                  | public          |  |  |  |
fixed         | Jour des Aïeux                       | 1 2                  | public          |  |  |  |
easter        | Carnaval                             | -49                  | public          |  |  |  |
easter        | Lundi Gras                           | -48                  | public          |  |  |  |
easter        | Mardi Gras                           | -47                  | public          |  |  |  |
easter        | Vendredi Saint                       | -2                   | public          |  |  |  |
easter        | Pâques                               | 0                    | public          |  |  |  |
fixed         | Fête de l'Agriculture et du Travail  | 5 1                  | public          |  |  |  |
fixed         | Fête du Drapeau et de l'Université   | 5 18                 | public          |  |  |  |
easter        | Fête-Dieu                            | 60                   | public          |  |  |  |
fixed         | Assomption de Marie                  | 8 15                 | public          |  |  |  |
fixed         | Mort de Dessalines                   | 10 17                | public          |  |  |  |
fixed         | La Toussaint                         | 11 1                 | public          |  |  |  |
fixed         | Fête des Morts                       | 11 2                 | public          |  |  |  |
fixed         | Commémoration de la Bataille de Vertières; Jour des Forces Armées | 11 18                | public          |  |  |  |
fixed         | Noël                                 | 12 25                | public          |  |  |  |


# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed  | Fête de la Souveraineté Nationale | 5 23 | optional |  |  |  |
fixed  | Fête de Notre-Dame du Perpétuel Secours, patronne d'Haiti | 6 27 | optional |  |  |  |
fixed  | Anniversaire de Naissance de Jean-Jacques Dessalines | 9 20 | optional |  |  |  |
fixed  | Jour de la Découverte | 12 5 | optional |  |  |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | Mercredi des Cendres | 2024-2-14 2025-3-5 | optional |  |  |  |
decree | Jeudi Saint | 2024-3-28 2025-4-17 | optional |  |  |  |
decree | Ascension | 2024-5-9 2025-5-29 | optional |  |  |  |
