# civil-holidays v1
# jurisdiction: QA
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Qatar
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   National Sport Day (2nd Tuesday of February) has no fixed month/day
#   stable across both sample years, and every Eid cluster is Hijri, so
#   both are captured as 'decree' (explicit per-year dates, basis
#   tabulated) for 2024-2025. The New Year holiday only appears in
#   vacanza's 2025 data (not 2024), so it is decreed for 2025 only -- an
#   honest single-year gap rather than a fabricated 2024 date. Multi-day
#   Eid breaks are split into one row per calendar day, numbered "(1)".."(3)".
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
decree        | عطلة رأس السنة                        | 2025-1-2            | public          |  |  |  |
nth_weekday | اليوم الوطني للرياضة | 2 2 1 | public |  |  |  | 
decree        | عيد الفطر (1)                         | 2024-4-10 2025-3-30 2026-3-20 2027-3-9 | public          |  |  |  || eid_al_fitr
decree        | عيد الفطر (2)                         | 2024-4-11 2025-3-31 2026-3-21 2027-3-10 | public          |  |  |  |
decree        | عيد الفطر (3)                         | 2024-4-12 2025-4-1 2026-3-22 2027-3-11  | public          |  |  |  |
decree        | عيد الأضحى (1)                        | 2024-6-16 2025-6-6 2026-5-27 2027-5-16  | public          |  |  |  || eid_al_adha
decree        | عيد الأضحى (2)                        | 2024-6-17 2025-6-7 2026-5-28 2027-5-17  | public          |  |  |  |
decree        | عيد الأضحى (3)                        | 2024-6-18 2025-6-8 2026-5-29 2027-5-18  | public          |  |  |  |
fixed         | اليوم الوطني لقطر                      | 12 18 | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
fixed  | رأس السنة الميلادية | 1 1 | bank |  |  |  | 
decree | عطلة البنك | 2024-3-3 2025-3-2 | bank |  |  |  | 
