# civil-holidays v1
# jurisdiction: DO
# source: https://en.wikipedia.org/wiki/Public_holidays_in_the_Dominican_Republic
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this
#   column. Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest fallback other batch
#   files already use for their own lunar/Orthodox movables -- silent outside
#   those years rather than fabricated. Workday-bridge ('puente'/'observado'
#   extra day-off) entries are dropped as out of scope; where a jurisdiction's
#   own substitute-holiday practice creates a genuinely separate day off
#   (e.g. Sierra Leone's "(observed)" replacement day), that day is kept as
#   its own named row, matching the precedent already set for South Korea's
#   대체 휴일 substitute-holiday rows. Multi-day religious breaks (Eid,
#   Nowruz, Lao New Year, Libyan Mawlid) are split into one row per calendar
#   day, numbered "(1)", "(2)", ... where they do not reduce to a single
#   fixed or Easter-offset rule.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Año Nuevo                                     | 1 1 | public          |  |  |  |
fixed         | Día de los Santos Reyes                       | 1 6 | public          |  |  |  |
fixed         | Día de la Altagracia                          | 1 21 | public          |  |  |  |
decree        | Día de Duarte                                 | 2024-1-29 2025-1-26 2026-1-26 2027-1-25 | public          |  |  |  |
fixed         | Día de Independencia                          | 2 27 | public          |  |  |  |
easter        | Viernes Santo                                 | -2 | public          |  |  |  |
decree        | Día del Trabajo                               | 2024-4-29 2025-5-5 2026-5-4 2027-5-1 | public          |  |  |  |
easter        | Corpus Christi                                | 60 | public          |  |  |  |
fixed         | Día de la Restauración                        | 8 16 | public          |  |  |  |
fixed         | Día de las Mercedes                           | 9 24 | public          |  |  |  |
decree        | Día de la Constitución                        | 2024-11-4 2025-11-10 2026-11-9 2027-11-6 | public          |  |  |  |
fixed         | Día de Navidad                                | 12 25 | public          |  |  |  |
