# civil-holidays v1
# jurisdiction: CM
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Cameroon
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here (including one-off observed-shift days that only
#   coincide with an Easter offset by chance in a single year) are captured
#   as 'decree' (explicit per-year dates, basis tabulated) for 2024-2025,
#   the same honest fallback id.tab/cn.tab already use for Imlek/Nyepi/shift
#   days -- silent outside those years rather than fabricated. 'easter' is
#   used only where the offset from Easter Sunday is consistent across both
#   2024 and 2025. Workday-bridge ('ponte' in Portuguese-language sources,
#   the same phenomenon Russia/Uzbekistan's 'moved' shift days represent)
#   entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | New Year's Day                       | 1 1                  | public          |  |  |  |
fixed         | Youth Day                            | 2 11                 | public          |  |  |  |
decree        | Youth Day (observed)                 | 2024-2-12            | public          |  |  |  |
easter        | Good Friday                          | -2                   | public          |  |  |  |
decree        | Eid al-Fitr                          | 2024-4-10 2025-3-30 2026-3-20 2027-3-9  | public          |  |  |  || eid_al_fitr
fixed         | Labour Day                           | 5 1                  | public          |  |  |  |
easter        | Ascension Day                        | 39                   | public          |  |  |  |
fixed         | National Day                         | 5 20                 | public          |  |  |  |
decree        | Eid al-Adha                          | 2024-6-16 2025-6-6 2026-5-27 2027-5-16   | public          |  |  |  || eid_al_adha
decree        | Eid al-Adha (observed, estimated)    | 2024-6-17 2027-5-17            | public          |  |  |  |
fixed         | Assumption Day                       | 8 15                 | public          |  |  |  |
decree        | Mawlid                               | 2024-9-15 2025-9-4 2026-8-25 2027-8-14   | public          |  |  |  || mawlid
decree        | Mawlid (observed, estimated)         | 2024-9-16            | public          |  |  |  |
fixed         | Christmas Day                        | 12 25                | public          |  |  |  |
decree        | Eid al-Fitr (observed, estimated)    | 2025-3-31            | public          |  |  |  |
