# civil-holidays v1
# jurisdiction: PW
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Palau
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. vacanza has no
#   native-language rendering registered for PW at this version, so
#   names are the honest English fallback vacanza publishes -- flagged
#   here rather than passed off as an official-language name. Not
#   independently re-verified against the government gazette, per the
#   house rule that permits vacanza-derived data as long as it is flagged
#   as such. Movable/lunar/lunisolar holidays with no closed-form rule
#   modelled here are captured as 'decree' (explicit per-year dates) for
#   2024-2025, silent outside those years rather than fabricated.
#   Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were
#   stripped and merged into the base holiday. Multi-day clusters that do
#   not reduce to a single fixed or Easter-offset rule are split into one
#   row per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
fixed         | Youth Day                                | 3 15                 | public          |  |  |  |
fixed         | Senior Citizens Day                      | 5 5                  | public          |  |  |  |
fixed         | President's Day                          | 6 1                  | public          |  |  |  |
fixed         | Constitution Day                         | 7 9                  | public          |  |  |  |
nth_weekday | Labor Day | 9 1 0 | public |  |  |  | 
fixed         | Independence Day                         | 10 1                 | public          |  |  |  |
fixed         | United Nations Day                       | 10 24                | public          |  |  |  |
weekday_onbefore | Family Day | 11 28 4 | public |  |  |  | 
nth_weekday | Thanksgiving Day | 11 4 3 | public |  |  |  | 
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
