# civil-holidays v1
# jurisdiction: ZM
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Zambia
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here (including one-off observed-shift days that only
#   coincide with an Easter offset by chance in a single year) are captured
#   as 'decree' (explicit per-year dates, basis tabulated) for 2024-2025,
#   the same honest fallback id.tab/cn.tab already use for Imlek/Nyepi/shift
#   days -- silent outside those years rather than fabricated. 'easter' is
#   used only where the offset from Easter Sunday is consistent across both
#   2024 and 2025. Workday-bridge ('ponte' in Portuguese-language sources,
#   the same phenomenon Russia/Uzbekistan's 'moved' shift days represent)
#   entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | New Year's Day                       | 1 1                  | public          |  |  |  |
fixed         | International Women's Day            | 3 8                  | public          |  |  |  |
fixed         | Youth Day                            | 3 12                 | public          |  |  |  |
easter        | Good Friday                          | -2                   | public          |  |  |  |
easter        | Holy Saturday                        | -1                   | public          |  |  |  |
easter        | Easter Sunday                        | 0                    | public          |  |  |  |
easter        | Easter Monday                        | 1                    | public          |  |  |  |
fixed         | Kenneth Kaunda Day                   | 4 28                 | public          |  |  |  |
decree        | Kenneth Kaunda Day (observed)        | 2024-4-29            | public          |  |  |  |
fixed         | Labour Day                           | 5 1                  | public          |  |  |  |
fixed         | Africa Freedom Day                   | 5 25                 | public          |  |  |  |
nth_weekday | Heroes' Day | 7 1 0 | public |  |  |  | 
weekday_onbefore | Unity Day | 7 8 1 | public |  |  |  | 
nth_weekday | Farmers' Day | 8 1 0 | public |  |  |  | 
fixed         | National Prayer Day                  | 10 18                | public          |  |  |  |
fixed         | Independence Day                     | 10 24                | public          |  |  |  |
fixed         | Christmas Day                        | 12 25                | public          |  |  |  |
decree        | Africa Freedom Day (observed)        | 2025-5-26            | public          |  |  |  |
