# civil-holidays v1
# jurisdiction: SO
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Somalia
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it -- vacanza carries no native-language rendering for Somalia, so English (its shared administrative/working language) is used as an honest fallback rather than a fabricated translation; English lands only in translations.tab, never in this
#   column. Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest fallback other batch
#   files already use for their own lunar/Orthodox movables -- silent outside
#   those years rather than fabricated. Workday-bridge ('puente'/'observado'
#   extra day-off) entries are dropped as out of scope; where a jurisdiction's
#   own substitute-holiday practice creates a genuinely separate day off
#   (e.g. Sierra Leone's "(observed)" replacement day), that day is kept as
#   its own named row, matching the precedent already set for South Korea's
#   대체 휴일 substitute-holiday rows. Multi-day religious breaks (Eid,
#   Nowruz, Lao New Year, Libyan Mawlid) are split into one row per calendar
#   day, numbered "(1)", "(2)", ... where they do not reduce to a single
#   fixed or Easter-offset rule.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | New Year's Day                                | 1 1 | public          |  |  |  |
decree        | Isra' and Mi'raj                              | 2024-2-8 2025-1-27 2026-1-16 2027-1-5 | public          |  |  |  |
decree        | Eid al-Fitr                                   | 2024-4-10 2025-3-30 2026-3-20 2027-3-9 | public          |  |  |  || eid_al_fitr
fixed         | Labour Day                                    | 5 1 | public          |  |  |  |
decree        | Eid al-Adha                                   | 2024-6-16 2025-6-6 2026-5-27 2027-5-16 | public          |  |  |  || eid_al_adha
fixed         | Independence Day                              | 6 26 | public          |  |  |  |
fixed         | Republic Day                                  | 7 1 | public          |  |  |  |
decree        | Islamic New Year                              | 2024-7-7 2025-6-26 2026-6-16 2027-6-6 | public          |  |  |  |
decree        | Ashura                                        | 2024-7-16 2025-7-5 2026-6-25 2027-6-15 | public          |  |  |  || ashura
decree        | Prophet's Birthday                            | 2024-9-15 2025-9-4 2026-8-25 2027-8-14 | public          |  |  |  || mawlid
