# civil-holidays v1
# jurisdiction: GU
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Guam
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in en_US via vacanza's own language support (language='en_US'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
nth_weekday | Martin Luther King Jr. Day | 1 3 0 | public |  |  |  | 
nth_weekday | Washington's Birthday | 2 3 0 | public |  |  |  | 
nth_weekday | Guam Discovery Day | 3 1 0 | public |  |  |  | 
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
nth_weekday | Memorial Day | 5 -1 0 | public |  |  |  | 
fixed         | Juneteenth National Independence Day     | 6 19                 | public          |  |  |  |
fixed         | Independence Day                         | 7 4                  | public          |  |  |  |
fixed         | Liberation Day (Guam)                    | 7 21                 | public          |  |  |  |
nth_weekday | Labor Day | 9 1 0 | public |  |  |  | 
fixed         | All Souls' Day                           | 11 2                 | public          |  |  |  |
fixed         | Veterans Day                             | 11 11                | public          |  |  |  |
nth_weekday | Thanksgiving Day | 11 4 3 | public |  |  |  | 
fixed         | Lady of Camarin Day                      | 12 8                 | public          |  |  |  |
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |


# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed  | Valentine's Day | 2 14 | unofficial |  |  |  |
fixed  | Saint Patrick's Day | 3 17 | unofficial |  |  |  |
fixed  | Halloween | 10 31 | unofficial |  |  |  |
fixed  | Christmas Eve | 12 24 | unofficial |  |  |  |
fixed  | New Year's Eve | 12 31 | unofficial |  |  |  |

# --- vacanza/holidays 0.101 category parity, decree-tabulated
# (year-varying: Easter/lunar/Hijri-relative or ephemeral) -- gazetted
# 2024/2025 dates taken directly from vacanza/holidays 0.101 (MIT)
# `country_holidays(cc, categories=(...))` output, per the house rule
# that permits vacanza-derived data when flagged as such (retrieved
# 2026-07-22). ---
decree | Good Friday | 2024-3-29 2025-4-18 2026-4-3 2027-3-26 | unofficial |  |  |  |
decree | Easter Sunday | 2024-3-31 2025-4-20 | unofficial |  |  |  |
decree | Mother's Day | 2024-5-12 2025-5-11 | unofficial |  |  |  |
decree | Father's Day | 2024-6-16 2025-6-15 | unofficial |  |  |  |
