# civil-holidays v1
# jurisdiction: SL
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Sierra_Leone
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this
#   column. Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest fallback other batch
#   files already use for their own lunar/Orthodox movables -- silent outside
#   those years rather than fabricated. Workday-bridge ('puente'/'observado'
#   extra day-off) entries are dropped as out of scope; where a jurisdiction's
#   own substitute-holiday practice creates a genuinely separate day off
#   (e.g. Sierra Leone's "(observed)" replacement day), that day is kept as
#   its own named row, matching the precedent already set for South Korea's
#   대체 휴일 substitute-holiday rows. Multi-day religious breaks (Eid,
#   Nowruz, Lao New Year, Libyan Mawlid) are split into one row per calendar
#   day, numbered "(1)", "(2)", ... where they do not reduce to a single
#   fixed or Easter-offset rule.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | New Year's Day                                | 1 1 | public          |  |  |  |
fixed         | Armed Forces Day                              | 2 18 | public          |  |  |  |
decree        | Armed Forces Day (observed)                   | 2024-2-19 | public          |  |  |  |
fixed         | International Women's Day                     | 3 8 | public          |  |  |  |
easter        | Good Friday                                   | -2 | public          |  |  |  |
easter        | Easter Monday                                 | 1 | public          |  |  |  |
decree        | Eid al-Fitr                                   | 2024-4-10 2025-3-30 2026-3-20 2027-3-9 | public          |  |  |  || eid_al_fitr
fixed         | Independence Day                              | 4 27 | public          |  |  |  |
nth_weekday | Independence Day (observed) | 4 -1 0 | public |  |  |  | 
fixed         | International Worker's Day                    | 5 1 | public          |  |  |  |
decree        | Eid al-Adha                                   | 2024-6-16 2025-6-6 2026-5-27 2027-5-16 | public          |  |  |  || eid_al_adha
decree        | Eid al-Adha (observed)                        | 2024-6-17 | public          |  |  |  |
decree        | Prophet's Birthday                            | 2024-9-15 2025-9-4 2026-8-25 2027-8-14 | public          |  |  |  || mawlid
decree        | Prophet's Birthday (observed)                 | 2024-9-16 | public          |  |  |  |
fixed         | Christmas Day                                 | 12 25 | public          |  |  |  |
fixed         | Boxing Day                                    | 12 26 | public          |  |  |  |
nth_weekday | International Women's Day (observed) | 3 2 0 | public |  |  |  | 
