# civil-holidays v1
# jurisdiction: MU
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Mauritius
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in en_MU via vacanza's own language support (language='en_MU'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
fixed         | Day after New Year's Day                 | 1 2                  | public          |  |  |  |
decree        | Thaipoosam Cavadee                       | 2024-1-25 2025-2-11 2026-2-2 2027-1-22  | public          |  |  |  |
fixed         | Abolition of Slavery                     | 2 1                  | public          |  |  |  |
decree        | Chinese Spring Festival                  | 2024-2-10 2025-1-29 2026-2-17 2027-2-6  | public          |  |  |  || chinese_new_year
decree        | Maha Shivaratree                         | 2024-3-8 2025-2-26 2026-2-15 2027-3-6   | public          |  |  |  |
fixed         | Independence and Republic Day            | 3 12                 | public          |  |  |  |
decree        | Ougadi                                   | 2024-4-9 2025-3-30 2026-3-19 2027-4-7   | public          |  |  |  |
decree        | Eid-ul-Fitr                              | 2024-4-11 2025-4-1 2026-3-21 2027-3-10   | public          |  |  |  |
fixed         | Labour Day                               | 5 1                  | public          |  |  |  |
decree        | Assumption of the Blessed Virgin Mary    | 2024-8-15 2026-8-15            | public          |  |  |  |
decree        | Ganesh Chaturthi                         | 2024-9-8 2025-8-28 2026-9-14 2027-9-4   | public          |  |  |  |
decree        | Divali                                   | 2024-10-31 2025-10-20 2026-11-08 2027-10-29 | public          |  |  |  |
fixed         | Arrival of Indentured Labourers          | 11 2                 | public          |  |  |  |
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
decree        | All Saints' Day                          | 2025-11-1 2027-11-1            | public          |  |  |  |
