# civil-holidays v1
# jurisdiction: TV
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Tuvalu
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in tvl via vacanza's own language support (language='tvl'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | Tausaga Fou                              | 1 1                  | public          |  |  |  |
easter        | Aso toe tu                               | -2 gregorian         | public          |  |  |  |
easter        | Toe Tu aso gafua                         | 1 gregorian          | public          |  |  |  |
nth_weekday | Te Aso o te Tala Lei | 5 2 0 | public |  |  |  | 
nth_weekday | Asofanau Tupu | 6 2 5 | public |  |  |  | 
nth_weekday | Aso tupulaga | 8 1 0 | public |  |  |  | 
fixed         | Tutokotasi (1)                           | 10 1                 | public          |  |  |  |
fixed         | Tutokotasi (2)                           | 10 2                 | public          |  |  |  |
nth_weekday | Aso Tamaliki | 10 2 0 | public |  |  |  | 
fixed         | Kilisimasi                               | 12 25                | public          |  |  |  |
fixed         | Aso Faipele                              | 12 26                | public          |  |  |  |

# --- Wave 2 subdivision backfill (vacanza/holidays 0.101) ---
# TV-FUN
fixed | Te Aso o te Paula | 4 23 | regional | TV-FUN |  |  | 
fixed | Aso o te matagi | 10 21 | regional | TV-FUN |  |  | 
# TV-NIT
fixed | Te Aso o te Setema | 9 17 | regional | TV-NIT |  |  | 
# TV-NKF
fixed | Te Aso O Tutasi | 2 11 | regional | TV-NKF |  |  | 
# TV-NKL
decree | Te Aso o te Tala Lei | 2024-5-10 2024-5-13 2025-5-10 2025-5-12 2026-5-10 2026-5-11 2027-5-10 | regional | TV-NKL |  |  | 
# TV-NMA
fixed | Te Po o Tefolaha | 1 8 | regional | TV-NMA |  |  | 
fixed | Po Lahi | 2 3 | regional | TV-NMA |  |  | 
# TV-NMG
fixed | Aho o te Fakavae | 4 15 | regional | TV-NMG |  |  | 
# TV-NUI
fixed | Bogin te Ieka | 2 16 | regional | TV-NUI |  |  | 
# TV-VAI
fixed | Te Aso Fiafia | 11 25 | regional | TV-VAI |  |  | 
