# civil-holidays v1
# jurisdiction: SB
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Solomon_Islands
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. vacanza has no
#   native-language rendering registered for SB at this version, so
#   names are the honest English fallback vacanza publishes -- flagged
#   here rather than passed off as an official-language name. Not
#   independently re-verified against the government gazette, per the
#   house rule that permits vacanza-derived data as long as it is flagged
#   as such. Movable/lunar/lunisolar holidays with no closed-form rule
#   modelled here are captured as 'decree' (explicit per-year dates) for
#   2024-2025, silent outside those years rather than fabricated.
#   Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were
#   stripped and merged into the base holiday. Multi-day clusters that do
#   not reduce to a single fixed or Easter-offset rule are split into one
#   row per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
easter        | Holy Saturday                            | -1 gregorian         | public          |  |  |  |
easter        | Easter Monday                            | 1 gregorian          | public          |  |  |  |
decree        | Public Holiday                           | 2024-4-17            | public          |  |  |  |
easter        | Whit Monday                              | 50 gregorian         | public          |  |  |  |
decree        | King's Birthday                          | 2024-6-15 2025-6-13 2026-6-19 2027-6-18  | public          |  |  |  |
fixed         | Independence Day                         | 7 7                  | public          |  |  |  |
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
fixed         | National Day of Thanksgiving             | 12 26                | public          |  |  |  |

# --- Wave 2 subdivision backfill (vacanza/holidays 0.101) ---
# SB-CE
fixed | Central Province Day | 6 29 | regional | SB-CE |  |  | 
decree | Central Province Day (observed) | 2024-6-28 2025-6-30 | regional | SB-CE |  |  | 
# SB-CH
fixed | Choiseul Province Day (observed) | 2 26 | regional | SB-CH |  |  | 
fixed | Choiseul Province Day | 2 25 | regional | SB-CH |  |  | 
# SB-GU
fixed | Guadalcanal Province Day | 8 1 | regional | SB-GU |  |  | 
# SB-IS
fixed | Isabel Province Day | 6 2 | regional | SB-IS |  |  | 
fixed | Isabel Province Day (observed) | 6 3 | regional | SB-IS |  |  | 
# SB-MK
decree | Makira-Ulawa Province Day (observed) | 2024-8-2 2025-8-4 | regional | SB-MK |  |  | 
fixed | Makira-Ulawa Province Day | 8 3 | regional | SB-MK |  |  | 
# SB-ML
fixed | Malaita Province Day | 8 15 | regional | SB-ML |  |  | 
# SB-RB
fixed | Rennell and Bellona Province Day | 7 20 | regional | SB-RB |  |  | 
decree | Rennell and Bellona Province Day (observed) | 2024-7-19 2025-7-21 | regional | SB-RB |  |  | 
# SB-TE
fixed | Temotu Province Day | 6 8 | regional | SB-TE |  |  | 
fixed | Temotu Province Day (observed) | 6 7 | regional | SB-TE |  |  | 
easter | Whit Monday | 50 | regional religious | SB-TE |  |  | 
fixed | Temotu Province Day (observed); Whit Monday | 6 9 | regional religious | SB-TE |  |  | 
# SB-WE
fixed | Western Province Day | 12 7 | regional | SB-WE |  |  | 
decree | Western Province Day (observed) | 2024-12-6 2025-12-8 | regional | SB-WE |  |  | 
