# civil-holidays v1
# jurisdiction: CR
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Costa_Rica
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this
#   column. Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest fallback other batch
#   files already use for their own lunar/Orthodox movables -- silent outside
#   those years rather than fabricated. Workday-bridge ('puente'/'observado'
#   extra day-off) entries are dropped as out of scope; where a jurisdiction's
#   own substitute-holiday practice creates a genuinely separate day off
#   (e.g. Sierra Leone's "(observed)" replacement day), that day is kept as
#   its own named row, matching the precedent already set for South Korea's
#   대체 휴일 substitute-holiday rows. Multi-day religious breaks (Eid,
#   Nowruz, Lao New Year, Libyan Mawlid) are split into one row per calendar
#   day, numbered "(1)", "(2)", ... where they do not reduce to a single
#   fixed or Easter-offset rule.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school (+ vacanza-parity labels, see below)
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Año Nuevo                                     | 1 1 | public          |  |  |  |
easter        | Jueves Santo                                  | -3 | public          |  |  |  |
easter        | Viernes Santo                                 | -2 | public          |  |  |  |
decree        | Día de Juan Santamaría                        | 2024-4-15 2025-4-11 2026-4-11 2027-4-11 | public          |  |  |  |
fixed         | Día Internacional del Trabajo                 | 5 1 | public          |  |  |  |
decree        | Anexión del Partido de Nicoya a Costa Rica    | 2024-7-29 2025-7-25 2026-7-25 2027-7-25 | public          |  |  |  |
decree        | Día de la Madre                               | 2024-8-19 2025-8-15 2026-8-15 2027-8-15 | public          |  |  |  |
fixed         | Día de la Independencia                       | 9 15 | public          |  |  |  |
fixed         | Navidad                                       | 12 25 | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed | Fiesta de Nuestra Señora de los Ángeles | 8 2 | optional |  |
fixed | Día de la Persona Negra y la Cultura Afrocostarricense | 8 31 | optional |  |
fixed | Día de la Abolición del Ejército | 12 1 | optional |  |
