# civil-holidays v1
# jurisdiction: PA
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Panama
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this
#   column. Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here are captured as 'decree' (explicit per-year dates,
#   basis tabulated) for 2024-2025, the same honest fallback other batch
#   files already use for their own lunar/Orthodox movables -- silent outside
#   those years rather than fabricated. Workday-bridge ('puente'/'observado'
#   extra day-off) entries are dropped as out of scope; where a jurisdiction's
#   own substitute-holiday practice creates a genuinely separate day off
#   (e.g. Sierra Leone's "(observed)" replacement day), that day is kept as
#   its own named row, matching the precedent already set for South Korea's
#   대체 휴일 substitute-holiday rows. Multi-day religious breaks (Eid,
#   Nowruz, Lao New Year, Libyan Mawlid) are split into one row per calendar
#   day, numbered "(1)", "(2)", ... where they do not reduce to a single
#   fixed or Easter-offset rule.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Año Nuevo                                     | 1 1 | public          |  |  |  |
fixed         | Día de los Mártires                           | 1 9 | public          |  |  |  |
easter        | Martes de Carnaval                            | -47 | public          |  |  |  |
easter        | Viernes Santo                                 | -2 | public          |  |  |  |
fixed         | Día del Trabajo                               | 5 1 | public          |  |  |  |
decree        | Toma posesión del Presidente de la república  | 2024-7-1 | public          |  |  |  |
fixed         | Separación de Panamá de Colombia              | 11 3 | public          |  |  |  |
fixed         | Día de Colón                                  | 11 5 | public          |  |  |  |
fixed         | Primer Grito de Independencia                 | 11 10 | public          |  |  |  |
fixed         | Independencia de Panamá de España             | 11 28 | public          |  |  |  |
fixed         | Día de la Madre                               | 12 8 | public          |  |  |  |
fixed         | Día de Duelo Nacional                         | 12 20 | public          |  |  |  |
fixed         | Navidad                                       | 12 25 | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
decree | Lunes de Carnaval | 2024-2-12 2025-3-3 | bank |  |  |  | 
decree | Día de los Símbolos Patrios | 2025-11-4 | bank |  |  |  | 
