# civil-holidays v1
# jurisdiction: VN
# source: https://vanban.chinhphu.vn (Bo luat Lao dong 2019, No. 45/2019/QH14, Dieu 112)
#   PRIMARY-VERIFIED against the Labour Code 2019 (Law 45/2019/QH14),
#   Art. 112: New Year, 5-day Tet, Hung Kings' Day (10th day 3rd lunar
#   month), Reunification Day (30 Apr), Labour Day (1 May), 2-day National
#   Day (2 Sep). Tet and the lunisolar days set annually by the PM (decree).
#   Provenance: structure/dates originally derived from vacanza/holidays
#   0.101 (MIT) (github.com/vacanza/holidays); the PUBLIC set has now been
#   cross-checked against the primary instrument above and found to match.
#   Primary names are the jurisdiction's own official-language rendering;
#   English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar holidays with no closed-form rule are captured as
#   'decree' (explicit per-year dates) for 2024-2025 rather than fabricated;
#   workday-bridge ('moved from ...') entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Tết Dương lịch                     | 1 1                 | public          |  |  |  |
decree        | 29 Tết                             | 2024-2-8 2025-1-27 2027-2-4  | public          |  |  |  |
decree        | Giao thừa Tết Nguyên Đán           | 2024-2-9 2025-1-28 2026-2-16 2027-2-5  | public          |  |  |  |
decree        | Tết Nguyên Đán                     | 2024-2-10 2025-1-29 2026-2-17 2027-2-6 | public          |  |  |  || chinese_new_year
decree        | Mùng hai Tết Nguyên Đán            | 2024-2-11 2025-1-30 2026-2-18 2027-2-7 | public          |  |  |  |
decree        | Mùng ba Tết Nguyên Đán             | 2024-2-12 2025-1-31 2026-2-19 2027-2-8 | public          |  |  |  |
decree        | Mùng bốn Tết Nguyên Đán            | 2024-2-13 2025-2-1 2026-2-20 2027-2-9  | public          |  |  |  |
decree        | Mùng năm Tết Nguyên Đán            | 2024-2-14 2027-2-10           | public          |  |  |  |
decree        | Ngày Giỗ Tổ Hùng Vương             | 2024-4-18 2025-4-7 2026-4-26 2027-4-16  | public          |  |  |  |
fixed         | Ngày Chiến thắng                   | 4 30                | public          |  |  |  |
fixed         | Ngày Quốc tế Lao động              | 5 1                 | public          |  |  |  |
decree        | Quốc khánh                         | 2024-9-2 2024-9-3 2025-9-1 2025-9-2 2026-9-1 2026-9-2 2027-9-2 2027-9-3| public          |  |  |  |
decree        | Ngày nghỉ (thay cho ngày 04/05/2024)| 2024-4-29           | public          |  |  |  |
