# civil-holidays v1
# jurisdiction: SY
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Syria
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here (including one-off observed-shift days that only
#   coincide with an Easter offset by chance in a single year) are captured
#   as 'decree' (explicit per-year dates, basis tabulated) for 2024-2025,
#   the same honest fallback id.tab/cn.tab already use for Imlek/Nyepi/shift
#   days -- silent outside those years rather than fabricated. 'easter' is
#   used only where the offset from Easter Sunday is consistent across both
#   2024 and 2025. Workday-bridge ('ponte' in Portuguese-language sources,
#   the same phenomenon Russia/Uzbekistan's 'moved' shift days represent)
#   entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | عيد رأس السنة الميلادية              | 1 1                  | public          |  |  |  |
fixed         | الثورة السورية                       | 3 8                  | public          |  |  |  |
fixed         | عيد الأم                             | 3 21                 | public          |  |  |  |
decree        | عيد الفصح حسب التقويم الغربي         | 2024-3-31 2026-4-5 2027-3-28            | public          |  |  |  |
decree        | عيد الفطر                            | 2024-4-10 2024-4-11 2024-4-12 2025-3-31 2025-4-1 2025-4-2 2026-3-20 2027-3-9 | public          |  |  |  |
fixed         | عيد الاستقلال                        | 4 17                 | public          |  |  |  |
fixed         | عيد العمال                           | 5 1                  | public          |  |  |  |
decree        | عيد الفصح حسب التقويم الشرقي         | 2024-5-5 2026-4-12 2027-5-2             | public          |  |  |  |
fixed         | عيد الشهداء                          | 5 6                  | public          |  |  |  |
decree        | عيد الأضحى                           | 2024-6-15 2024-6-16 2024-6-17 2024-6-18 2025-6-5 2025-6-6 2025-6-7 2025-6-8 2026-5-26 2027-5-15 | public          |  |  |  |
decree        | رأس السنة الهجرية                    | 2024-7-7 2025-6-26 2026-6-16 2027-6-6   | public          |  |  |  |
decree        | عيد المولد النبوي الشريف             | 2024-9-15 2026-8-25 2027-8-14            | public          |  |  |  || mawlid
fixed         | ذكرى حرب تشرين التحريرية             | 10 6                 | public          |  |  |  |
fixed         | عيد الميلاد                          | 12 25                | public          |  |  |  |
fixed         | يوم الصناديق                         | 12 26                | public          |  |  |  |
decree        | عيد الفصح حسب التقويم الشرقي; عيد الفصح حسب التقويم الغربي | 2025-4-20            | public          |  |  |  |
decree        | عيد المولد النبوي الشريف (تقديري)    | 2025-9-4 2026-8-25 2027-8-14             | public          |  |  |  || mawlid
fixed | عيد التحرير | 12 8 | public |  |  |  | 
