# civil-holidays v1
# jurisdiction: LR
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Liberia
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. vacanza has no
#   native-language rendering registered for LR at this version, so
#   names are the honest English fallback vacanza publishes -- flagged
#   here rather than passed off as an official-language name. Not
#   independently re-verified against the government gazette, per the
#   house rule that permits vacanza-derived data as long as it is flagged
#   as such. Movable/lunar/lunisolar holidays with no closed-form rule
#   modelled here are captured as 'decree' (explicit per-year dates) for
#   2024-2025, silent outside those years rather than fabricated.
#   Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were
#   stripped and merged into the base holiday. Multi-day clusters that do
#   not reduce to a single fixed or Easter-offset rule are split into one
#   row per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

decree        | Inauguration Day                         | 2024-1-1             | public          |  |  |  |
fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
fixed         | Armed Forces Day                         | 2 11                 | public          |  |  |  |
nth_weekday | Decoration Day | 3 2 2 | public |  |  |  | 
fixed         | J. J. Roberts Memorial Birthday          | 3 15                 | public          |  |  |  |
nth_weekday | Fasting and Prayer Day | 4 2 4 | public |  |  |  | 
fixed         | National Unification and Integration Day | 5 14                 | public          |  |  |  |
fixed         | Independence Day                         | 7 26                 | public          |  |  |  |
fixed         | National Flag Day                        | 8 24                 | public          |  |  |  |
nth_weekday | Thanksgiving Day | 11 1 3 | public |  |  |  | 
fixed         | Tubman Administration Goodwill Day       | 11 29                | public          |  |  |  |
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
