# civil-holidays v1
# jurisdiction: CN
# source: General Office of the State Council (国务院办公厅) annual holiday-
#   arrangement announcements, tabulated at
#   https://en.wikipedia.org/wiki/Public_holidays_in_China
# retrieved: 2026-07-21
# notes:
#   The 11 statutory public-holiday days. Spring Festival, Dragon Boat and Mid-
#   Autumn are Chinese-lunisolar dates (calendar_date). Qingming is NOT a lunar
#   date but a SOLAR TERM (Sun at ecliptic longitude 15 deg), reckoned in China
#   Standard Time (UTC+8) via the solar_term rule kind.
#   OUT OF SCOPE: the 调休 (tiaoxiu) make-up-workday system. Each year the State
#   Council bridges these statutory days into "golden weeks" by swapping adjacent
#   weekends into workdays and designating nearby weekdays as rest days; those
#   shifted rest/work days are per-year administrative arrangements, not holidays,
#   and are deliberately not listed here (we list holidays, not shifted workdays).
# categories: public|regional|municipal|religious|school (+ vacanza-parity labels, see below)
# columns: kind | name | args | categories | subdiv | observed
#
# Names carry the official Chinese (zh) name as primary, with an English (en)
# name alongside; see the i18n format spec in civil_holidays.load_calendar.
# --- fixed (Gregorian) ---
fixed         | zh:元旦 ;; en:New Year's Day             | 1 1  | public |  |
fixed         | zh:劳动节 ;; en:Labour Day               | 5 1  | public |  |
fixed         | zh:国庆节 ;; en:National Day             | 10 1 | public |  |
fixed         | zh:国庆节假期 ;; en:National Day Holiday  | 10 2 | public |  |
fixed         | zh:国庆节假期 ;; en:National Day Holiday  | 10 3 | public |  |
#
# --- Chinese lunisolar (calendar_date) ---
calendar_date | zh:春节 ;; en:Spring Festival             | chinese 1 1  | public |  |
calendar_date | zh:春节假期 ;; en:Spring Festival Holiday  | chinese 1 2  | public |  |
calendar_date | zh:春节假期 ;; en:Spring Festival Holiday  | chinese 1 3  | public |  |
calendar_date | zh:端午节 ;; en:Dragon Boat Festival      | chinese 5 5  | public |  |
calendar_date | zh:中秋节 ;; en:Mid-Autumn Festival       | chinese 8 15 | public |  |
#
# --- solar term (jieqi), UTC+8 ---
solar_term    | zh:清明节 ;; en:Qingming Festival         | qingming 8   | public |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025 (both years agree; dates are stable Gregorian fixed days per vacanza's
# own country module). Names are vacanza's own (already-localized) labels.
fixed | zh:国际妇女节 ;; en:International Women's Day | 3 8 | half_day |  |
fixed | zh:五四青年节 ;; en:Youth Day | 5 4 | half_day |  |
fixed | zh:六一儿童节 ;; en:Children's Day | 6 1 | half_day |  |
fixed | zh:建军节 ;; en:Army Day | 8 1 | half_day |  |
