# civil-holidays v1
# jurisdiction: MH
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Marshall_Islands
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. vacanza has no
#   native-language rendering registered for MH at this version, so
#   names are the honest English fallback vacanza publishes -- flagged
#   here rather than passed off as an official-language name. Not
#   independently re-verified against the government gazette, per the
#   house rule that permits vacanza-derived data as long as it is flagged
#   as such. Movable/lunar/lunisolar holidays with no closed-form rule
#   modelled here are captured as 'decree' (explicit per-year dates) for
#   2024-2025, silent outside those years rather than fabricated.
#   Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were
#   stripped and merged into the base holiday. Multi-day clusters that do
#   not reduce to a single fixed or Easter-offset rule are split into one
#   row per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
fixed         | Nuclear Victims Remembrance Day          | 3 1                  | public          |  |  |  |
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
fixed         | Constitution Day                         | 5 1                  | public          |  |  |  |
nth_weekday | Fisherman's Day | 7 1 4 | public |  |  |  | 
nth_weekday | Dri-jerbal Day | 9 1 4 | public |  |  |  | 
nth_weekday | Manit Day | 9 -1 4 | public |  |  |  | 
fixed         | President's Day                          | 11 17                | public          |  |  |  |
decree        | President's Day Holiday                  | 2024-11-18           | public          |  |  |  |
nth_weekday | Gospel Day | 12 1 4 | public |  |  |  | 
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
decree        | Nuclear Victims Remembrance Day Holiday  | 2025-2-28 2026-3-2            | public          |  |  |  |
