# civil-holidays v1
# jurisdiction: GY
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Guyana
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Names are rendered
#   in en_GY via vacanza's own language support (language='en_GY'), which
#   is the jurisdiction's own official-language rendering as vacanza
#   publishes it -- not independently re-verified against the government
#   gazette, per the house rule that permits vacanza-derived data as long
#   as it is flagged as such. Movable/lunar/lunisolar holidays with no
#   closed-form rule modelled here are captured as 'decree' (explicit
#   per-year dates) for 2024-2025, silent outside those years rather than
#   fabricated. Observed/bridge/in-lieu shifted-day artifacts
#   ("(observed)"/"(observado)"/"(observada)" suffixed rows) were dropped
#   as out of scope; "(estimated)"-style annotation suffixes were stripped
#   and merged into the base holiday. Multi-day clusters that do not
#   reduce to a single fixed or Easter-offset rule are split into one row
#   per calendar day, numbered "(1)", "(2)", ....
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#

fixed         | New Year's Day                           | 1 1                  | public          |  |  |  |
fixed         | Republic Day                             | 2 23                 | public          |  |  |  |
decree        | Phagwah                                  | 2024-3-25 2025-3-14 2026-3-3 2027-3-22  | public          |  |  |  |
easter        | Good Friday                              | -2 gregorian         | public          |  |  |  |
easter        | Easter Monday                            | 1 gregorian          | public          |  |  |  |
fixed         | Labour Day                               | 5 1                  | public          |  |  |  |
fixed         | Arrival Day                              | 5 5                  | public          |  |  |  |
fixed         | Independence Day                         | 5 26                 | public          |  |  |  |
decree        | Eid-Ul-Azha                              | 2024-6-17 2025-6-7 2026-5-28 2027-5-17   | public          |  |  |  |
nth_weekday | CARICOM Day | 7 1 0 | public |  |  |  | 
fixed         | Emancipation Day                         | 8 1                  | public          |  |  |  |
decree        | Youman Nabi                              | 2024-9-16 2025-9-5 2026-8-26 2027-8-15   | public          |  |  |  |
decree        | Deepavali                                | 2024-10-31 2025-10-20 2026-11-08 2027-10-29 | public          |  |  |  |
fixed         | Christmas Day                            | 12 25                | public          |  |  |  |
fixed         | Day after Christmas                      | 12 26                | public          |  |  |  |
