# civil-holidays v1
# jurisdiction: NE
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Niger
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here (including one-off observed-shift days that only
#   coincide with an Easter offset by chance in a single year) are captured
#   as 'decree' (explicit per-year dates, basis tabulated) for 2024-2025,
#   the same honest fallback id.tab/cn.tab already use for Imlek/Nyepi/shift
#   days -- silent outside those years rather than fabricated. 'easter' is
#   used only where the offset from Easter Sunday is consistent across both
#   2024 and 2025. Workday-bridge ('ponte' in Portuguese-language sources,
#   the same phenomenon Russia/Uzbekistan's 'moved' shift days represent)
#   entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Jour de l'An                         | 1 1                  | public          |  |  |  |
easter        | Lundi de Pâques                      | 1                    | public          |  |  |  |
decree        | Laylat al-Qadr                       | 2024-4-6 2025-3-27 2026-3-16 2027-3-6   | public          |  |  |  |
decree        | Korité                               | 2024-4-9 2025-3-30 2026-3-20 2027-3-9   | public          |  |  |  |
fixed         | Fête nationale de la Concorde        | 4 24                 | public          |  |  |  |
fixed         | Journée internationale du travail    | 5 1                  | public          |  |  |  |
decree        | Tabaski                              | 2024-6-16 2025-6-7 2026-5-27 2027-5-16   | public          |  |  |  |
decree        | Lendemain de la Tabaski              | 2024-6-17 2025-6-8 2026-5-28 2027-5-17   | public          |  |  |  |
decree        | Jour de l'An musulman                | 2024-7-6 2025-6-27 2026-6-16 2027-6-6   | public          |  |  |  |
fixed         | Anniversaire du coup d'État du CNSP  | 7 26                 | public          |  |  |  |
fixed         | L'anniversaire de la proclamation de l'indépendance | 8 3                  | public          |  |  |  |
decree        | Mouloud                              | 2024-9-16 2025-9-5 2026-8-25 2027-8-14   | public          |  |  |  |
fixed         | Fête nationale                       | 12 18                | public          |  |  |  |
fixed         | Noël                                 | 12 25                | public          |  |  |  |
decree        | Korité (observé)                     | 2025-3-31            | public          |  |  |  |
decree        | Lendemain de la Tabaski (observé)    | 2025-6-9             | public          |  |  |  |
decree        | L'anniversaire de la proclamation de l'indépendance (observé) | 2025-8-4             | public          |  |  |  |

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
decree | Ascension | 2024-5-9 2025-5-29 | optional |  |  |  | 
decree | Lundi de Pentecôte | 2024-5-20 | optional |  |  |  | 
fixed  | Assomption | 8 15 | optional |  |  |  | 
fixed  | Toussaint | 11 1 | optional |  |  |  | 
