# civil-holidays v1
# jurisdiction: ML
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Mali
#   Structure and dates derived from vacanza/holidays 0.101 (MIT)
#   (github.com/vacanza/holidays), an independent open-source reference
#   maintained against each country's official calendar. Primary names are
#   the jurisdiction's own official-language rendering as vacanza publishes
#   it; English lands only in translations.tab, never in this column.
#   Movable/lunar/lunisolar/estimated-date holidays with no closed-form
#   rule modelled here (including one-off observed-shift days that only
#   coincide with an Easter offset by chance in a single year) are captured
#   as 'decree' (explicit per-year dates, basis tabulated) for 2024-2025,
#   the same honest fallback id.tab/cn.tab already use for Imlek/Nyepi/shift
#   days -- silent outside those years rather than fabricated. 'easter' is
#   used only where the offset from Easter Sunday is consistent across both
#   2024 and 2025. Workday-bridge ('ponte' in Portuguese-language sources,
#   the same phenomenon Russia/Uzbekistan's 'moved' shift days represent)
#   entries are dropped as out of scope.
# retrieved: 2026-07-22
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed | valid | span
#
fixed         | Jour de l'An                         | 1 1                  | public          |  |  |  |
fixed         | Journée de l'Armée                   | 1 20                 | public          |  |  |  |
fixed         | Journée du 26 mars                   | 3 26                 | public          |  |  |  |
easter        | Lundi de Pâques                      | 1                    | public          |  |  |  |
decree        | Journée de la Fête du Ramadan        | 2024-4-9 2025-3-30 2026-3-20 2027-3-9   | public          |  |  |  |
fixed         | Fête du Travail                      | 5 1                  | public          |  |  |  |
fixed         | Journée de l'Afrique                 | 5 25                 | public          |  |  |  |
decree        | Journée de la Tabaski                | 2024-6-17 2025-6-7 2026-5-27 2027-5-16   | public          |  |  |  |
decree        | Journée du Maouloud (Naissance du Prophète) | 2024-9-16 2026-8-25 2027-8-14            | public          |  |  |  |
fixed         | Fête Nationale de la République du Mali | 9 22                 | public          |  |  |  |
decree        | Journée du Maouloud (Baptême du Prophète) | 2024-9-23 2026-9-1 2027-8-21            | public          |  |  |  |
fixed         | Fête de Noël                         | 12 25                | public          |  |  |  |
decree        | Journée du Maouloud (Naissance du Prophète) (estimé) | 2025-9-4 2026-8-25 2027-8-14             | public          |  |  |  || mawlid
decree        | Journée du Maouloud (Baptême du Prophète) (estimé) | 2025-9-11 2026-9-1 2027-8-21            | public          |  |  |  |
